id,name,category,description,price,brand,image_url,rating,stock
1,"Wireless Noise Cancelling Headphones","Electronics","High-fidelity audio with active noise cancellation and 30-hour battery life.",199.99,"SoundPro","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&q=80&w=800",4.8,25
2,"Smart LED Desk Lamp","Home Office","Adjustable brightness and color temperature with built-in USB charging port.",45.00,"LiteBright","https://images.unsplash.com/photo-1534073828943-f801091bb18c?auto=format&fit=crop&q=80&w=800",4.5,12
3,"Organic Cotton T-Shirt","Apparel","Soft breathable organic cotton t-shirt in various colors.",25.00,"EcoStyle","https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?auto=format&fit=crop&q=80&w=800",4.2,50
4,"Stainless Steel Water Bottle","Kitchen","Vacuum insulated bottle that keeps drinks cold for 24 hours.",18.50,"HydroPeak","https://images.unsplash.com/photo-1602143399827-bd959683a342?auto=format&fit=crop&q=80&w=800",4.7,30
5,"Portable Power Bank 20000mAh","Electronics","Fast-charging power bank with multiple ports for all your devices.",39.99,"VoltCharge","https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?auto=format&fit=crop&q=80&w=800",4.4,18
6,"Mechanical Gaming Keyboard","Electronics","RGB backlit keyboard with blue switches for a tactile gaming experience.",89.00,"GameMaster","https://images.unsplash.com/photo-1511467687858-23d96c32e4ae?auto=format&fit=crop&q=80&w=800",4.9,15
7,"Yoga Mat - Non-Slip","Sports","Extra thick cushioning for joint support with a textured non-slip surface.",29.99,"ZenFit","https://images.unsplash.com/photo-1592432676556-269e382bc88a?auto=format&fit=crop&q=80&w=800",4.6,22
8,"Ceramic Coffee Mug - 12oz","Kitchen","Handcrafted ceramic mug with a matte finish and ergonomic handle.",12.00,"MugLife","https://images.unsplash.com/photo-1514228742587-6b1558fbed20?auto=format&fit=crop&q=80&w=800",4.3,40
9,"Compact Foldable Umbrella","Accessories","Windproof and travel-friendly umbrella with automatic open/close.",22.00,"RainGuard","https://images.unsplash.com/photo-1511285227091-c24766324905?auto=format&fit=crop&q=80&w=800",4.1,35
10,"Streaming Webcam 1080p","Electronics","Full HD webcam with built-in microphone for clear video calls and streaming.",55.00,"VisionTech","https://images.unsplash.com/photo-1585338107529-13afc5f0141f?auto=format&fit=crop&q=80&w=800,4.5",20
11,"Leather Men's Wallet","Accessories","Genuine leather trifold wallet with RFID blocking technology.",35.00,"LegacyLeather","https://images.unsplash.com/photo-1627123424574-724758594e93?auto=format&fit=crop&q=80&w=800",4.6,15
12,"Air Quality Monitor","Smart Home","Real-time monitoring of CO2, temperature, and humidity levels.",79.99,"PureAir","https://images.unsplash.com/photo-1585338107529-13afc5f0141f?auto=format&fit=crop&q=80&w=800",4.4,10
13,"Electric Gooseneck Kettle","Kitchen","Precision pour electric kettle with temperature control for coffee and tea.",65.00,"BrewCore","https://images.unsplash.com/photo-1516335193237-640a233364f9?auto=format&fit=crop&q=80&w=800",4.8,12
14,"Men's Performance Running Shoes","Sports","Lightweight and responsive running shoes for maximum comfort and speed.",110.00,"SwiftDash","https://images.unsplash.com/photo-1542291026-7eec264c27ff?auto=format&fit=crop&q=80&w=800",4.7,20
15,"Noise-Cancelling Sleep Earbuds","Electronics","Comfortable earbuds designed specifically for side sleepers with white noise masking.",149.00,"DreamSound","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?auto=format&fit=crop&q=80&w=800",4.5,8
16,"Silicone Face Scrub Brush","Skincare","Soft silicone sonic face brush for a deep and gentle facial cleanse.",25.00,"GlowKit","https://images.unsplash.com/photo-1556228720-195a672e8a03?auto=format&fit=crop&q=80&w=800",4.3,30
17,"Bamboo Cotton Towel Set","Home","Ultra-soft and absorbent bamboo cotton towel set (2 bath, 2 hand, 2 face).",49.99,"EcoSprout","https://images.unsplash.com/photo-1560343090-f0409e92791a?auto=format&fit=crop&q=80&w=800",4.6,18
18,"Modern Office Chair","Home Office","Ergonomic mesh office chair with lumbar support and adjustable armrests.",180.00,"ComfySit","https://images.unsplash.com/photo-1505843490538-5133c6c7d0e1?auto=format&fit=crop&q=80&w=800",4.8,5
19,"Handheld Vacuum Cleaner","Home","Cordless handheld vacuum with powerful suction for quick cleanups.",59.00,"DustBuster","https://images.unsplash.com/photo-1527515545081-5db817172677?auto=format&fit=crop&q=80&w=800",4.5,14
20,"Reusable Mesh Produce Bags","Kitchen","Eco-friendly washable mesh bags for groceries and storage.",15.00,"EcoLoop","https://images.unsplash.com/photo-1544256718-3bcf237f3974?auto=format&fit=crop&q=80&w=800",4.2,40
21,"Adjustable Dumbbell Set","Sports","Compact adjustable dumbbells, replaces multiple weights in one set.",199.00,"IronGrip","https://images.unsplash.com/photo-1517836357463-d25dfeac3438?auto=format&fit=crop&q=80&w=800",4.9,8
22,"Smart Plant Monitor","Pet Supplies","Bluetooth sensor to monitor soil moisture, light, and nutrients for your plants.",29.00,"BloomTrack","https://images.unsplash.com/photo-1416870234185-d6c5df550ce3?auto=format&fit=crop&q=80&w=800",4.3,25
23,"Pet Water Fountain","Pet Supplies","Continuous flow water fountain for cats and small dogs.",34.99,"HappyPaws","https://images.unsplash.com/photo-1583337130417-3346a1be7dee?auto=format&fit=crop&q=80&w=800",4.7,20
24,"Lavender Soy Candle","Home","Relaxing lavender-scented soy candle in a decorative glass jar.",18.00,"ZenFlow","https://images.unsplash.com/photo-1603006899172-642948f90d97?auto=format&fit=crop&q=80&w=800",4.5,35
25,"Polarized Classic Sunglasses","Accessories","Timeless classic frames with polarized lenses and UV protection.",45.00,"ClearVue","https://images.unsplash.com/photo-1511499767390-a8a19759918a?auto=format&fit=crop&q=80&w=800",4.6,22
26,"Wireless Charging Stand","Electronics","15W fast wireless charging stand for compatible smartphones.",24.00,"QiPower","https://images.unsplash.com/photo-1586953208448-b95a79798f07?auto=format&fit=crop&q=80&w=800",4.4,28
27,"Natural Wood Cutting Board","Kitchen","Large solid walnut wood cutting board with deep juice grooves.",60.00,"KitchenCraft","https://images.unsplash.com/photo-1544650039-22886fbb4323?auto=format&fit=crop&q=80&w=800",4.8,12
28,"Mini Portable Projector","Electronics","Pocket-sized smart projector for movies and gaming anywhere.",129.00,"PocketCinema","https://images.unsplash.com/photo-1535016120720-40c646be896a?auto=format&fit=crop&q=80&w=800",4.3,10
29,"Ceramide Barrier Cream","Skincare","Intensive hydrating cream with ceramides and hyaluronic acid.",28.00,"DewFace","https://images.unsplash.com/photo-1556229162-da50294156b6?auto=format&fit=crop&q=80&w=800",4.7,20
30,"Wool Blend Winter Coat","Apparel","Classic wool blend overcoat with a modern slim fit.",150.00,"UrbanEdge","https://images.unsplash.com/photo-1539533377285-a764dca63972?auto=format&fit=crop&q=80&w=800",4.6,8
31,"Camping Lantern - Rechargeable","Outdoor Gear","High-lumen LED camping lantern with multiple brightness modes.",35.00,"TrailBlaze","https://images.unsplash.com/photo-1540324155974-7523202daa3f?auto=format&fit=crop&q=80&w=800",4.5,18
32,"Matte Lip Stain Set","Skincare","Long-lasting matte lip stain set in 4 versatile shades.",30.00,"BoldLook","https://images.unsplash.com/photo-1586771107445-d3ca888129ff?auto=format&fit=crop&q=80&w=800",4.4,25
33,"Graphite Tennis Racket","Sports","Professional grade graphite tennis racket for power and control.",140.00,"EliteAce","https://images.unsplash.com/photo-1617083273204-c8273678eb17?auto=format&fit=crop&q=80&w=800",4.8,10
34,"Automatic Pet Feeder","Pet Supplies","Programmable automatic pet feeder with portion control and voice record.",89.00,"SmartPet","https://images.unsplash.com/photo-1516733725897-1aa73b87c8e8?auto=format&fit=crop&q=80&w=800",4.6,12
35,"Lightweight Trail Backpack","Outdoor Gear","Durable 30L trail backpack for day hikes and travel.",55.00,"PeakTrail","https://images.unsplash.com/photo-1553062407-98eeb64c6a62?auto=format&fit=crop&q=80&w=800",4.5,15
36,"Glass Food Storage Set","Kitchen","10-piece set of BPA-free glass containers with airtight lids.",40.00,"KitchenCare","https://images.unsplash.com/photo-1581447100595-3a74ad9900a8?auto=format&fit=crop&q=80&w=800",4.7,20
37,"Mini Succulent Trio","Home","A set of three living succulents in minimalist white ceramic pots.",24.00,"GreenVibe","https://images.unsplash.com/photo-1485955900006-10f4d324d411?auto=format&fit=crop&q=80&w=800",4.4,15
38,"Smart Home Security Hub","Smart Home","Unified control hub for all your smart home sensors and cameras.",120.00,"SafeNest","https://images.unsplash.com/photo-1558002038-1055907df8d7?auto=format&fit=crop&q=80&w=800",4.5,10
39,"Portable Solar Charger","Outdoor Gear","Foldable solar panel for charging electronics off-grid.",65.00,"SunDrive","https://images.unsplash.com/photo-1511275215011-f10f13501740?auto=format&fit=crop&q=80&w=800",4.3,12
40,"Scented Bath Bomb Set","Home","Luxurious set of 6 bath bombs with organic essential oils.",22.00,"PureSpa","https://images.unsplash.com/photo-1584622781564-1d987f7333c1?auto=format&fit=crop&q=80&w=800",4.6,30
